system:index,area,indexed,system:time_start,.geo
2001_12_19,4996.870588235294,0.14076088307375684,1008720000000,
2002_01_01,6643.729411764705,0.18715257927729528,1009843200000,
2002_01_17,9663.352941176472,0.2722147931259042,1011225600000,
2002_02_02,19263.105882352942,0.5426379864884346,1012608000000,
2002_02_18,27270.0,0.7681906532578382,1013990400000,
2002_03_06,30331.482352941177,0.8544320221116419,1015372800000,
2002_03_22,32737.0,0.9221949914082087,1016755200000,
2002_04_07,30171.0,0.8499112651060593,1018137600000,
2002_04_23,27097.482352941177,0.7633308643325496,1019520000000,
2002_05_09,20352.0,0.5733119242795571,1020902400000,
2002_05_25,6699.0,0.1887095411138342,1022284800000,
2002_06_10,4521.0,0.1273557001605679,1023667200000,
2002_06_26,4673.0,0.13163751091580045,1025049600000,
2002_07_12,4629.623529411765,0.13041560408495353,1026432000000,
2002_07_28,4507.0,0.1269613228541649,1027814400000,
2002_08_13,4635.0,0.1305670582269923,1029196800000,
2002_08_29,5142.0,0.14484915068030085,1030579200000,
2002_09_14,4927.0,0.13879264204625483,1031961600000,
2002_09_30,5349.0,0.15068030085354517,1033344000000,
2002_10_16,5836.0,0.16439899715484943,1034726400000,
2002_11_01,6592.247058823529,0.18570233130013603,1036108800000,
2002_11_17,6437.247058823529,0.18133601112210285,1037491200000,
2002_12_03,6747.0,0.19006169187864447,1038873600000,
2002_12_19,6771.247058823529,0.19074472686057437,1040256000000,
2003_01_01,7875.623529411765,0.22185479955524845,1041379200000,
2003_01_17,13051.24705882353,0.3676511185899189,1042761600000,
2003_02_02,21456.482352941177,0.6044249796597418,1044144000000,
2003_02_18,27031.623529411765,0.7614756339449495,1045526400000,
2003_03_06,29508.0,0.8312346826671174,1046908800000,
2003_03_22,31075.0,0.8753767711766529,1048291200000,
2003_04_07,30546.0,0.8604749429561396,1049673600000,
2003_04_23,28415.0,0.8004450829600834,1051056000000,
2003_05_09,17632.0,0.4966900476069748,1052438400000,
2003_05_25,6043.0,0.17023014732809374,1053820800000,
2003_06_10,5909.0,0.16645539310966506,1055203200000,
2003_06_26,5854.0,0.1649060536916533,1056585600000,
2003_07_12,6130.0,0.17268092058931236,1057968000000,
2003_07_28,6194.0,0.17448378827572608,1059350400000,
2003_08_13,6461.482352941177,0.1820187146945316,1060732800000,
2003_08_29,6897.0,0.19428716301867657,1062115200000,
2003_09_14,6927.0,0.195132257246683,1063497600000,
2003_09_30,7073.0,0.19924504915631427,1064880000000,
2003_10_16,7680.0,0.2163441223696442,1066262400000,
2003_11_01,7736.623529411765,0.2179391962988187,1067644800000,
2003_11_17,7870.0,0.2216963858136849,1069027200000,
2003_12_03,8325.494117647058,0.2345275674708318,1070409600000,
2003_12_19,8010.247058823529,0.22564711847723962,1071792000000,
2004_01_01,8581.24705882353,0.2417320786169619,1072915200000,
2004_01_17,12338.870588235295,0.34758361047452874,1074297600000,
2004_02_02,27275.24705882353,0.7683384618953641,1075680000000,
2004_02_18,33790.0,0.9518577988112341,1077062400000,
2004_03_05,36254.623529411765,1.0212857694417241,1078444800000,
2004_03_21,35735.623529411765,1.006665639297213,1079827200000,
2004_04_06,34835.0,0.9812952477534579,1081209600000,
2004_04_22,32307.0,0.9100819741401166,1082592000000,
2004_05_08,20809.0,0.586185526352855,1083974400000,
2004_05_24,7220.0,0.20338601087354574,1085356800000,
2004_06_09,6464.0,0.18208963632778388,1086739200000,
2004_06_25,6429.0,0.1811036930617764,1088121600000,
